,index,AIC_bkg,AIC_single,AIC_double,BIC_bkg,BIC_single,BIC_double,LRT_single,LRT_double,theta_MLE_s,theta_MLE_d,BF_single,BF_double
0,0,9529.388778320514,7422.901208880546,7328.3336975391385,9535.380370602581,7446.867578008818,7370.274843513615,0.0,0.3792933133534915,0.20710826326459786,0.6909323368032639,1081.5449143534806,-15.436443204948773
1,1,15079.092118939468,12836.503611869477,8677.735859382874,15085.132565820772,12860.66539939469,8720.018987551995,0.0,4.325222392167295e-18,0.20305907355059072,0.6446147164096081,1152.4788975500978,2267.543223102767
2,2,-22891.966149451557,-105289.12840087718,-291674.57396040374,-22884.48204846247,-105259.19199692082,-291622.1852534801,0.0,5.330507941962985e-304,0.20022699074897152,1.7295008256543678,13121.83964441829,2907.5284924696207
