,index,AIC_bkg,AIC_single,AIC_double,BIC_bkg,BIC_single,BIC_double,LRT_single,LRT_double,theta_MLE_s,theta_MLE_d,BF_single,BF_double
29,29,10978.473218677664,4909.779413112397,4125.136607155075,10984.554075097305,4934.102838790961,4167.702602092561,0,0.12745891788644528,0.20717512457224535,0.7499557079616979,3366.340223928058,-13.77321943
30,30,3060.038469398782,2308.414818240521,-607.5736978,3064.710502344243,2327.1029500223653,-574.8694672,6.300862480905941e-132,0,0.11008788044146808,0.16683389731246606,387.1005328427109,1394.1669031917272
31,31,5863.537812611855,3870.391015811303,2259.3107853316815,5868.673499958883,3890.9337651994156,2295.2605967608783,0,1.970604867306578e-166,0.14810833695865952,0.26671082721857586,1076.7791606876253,672.8405864568836
32,32,4784.541329097933,3420.394221349865,-8.820805712,4789.469866916098,3440.1083726225233,25.67895901473286,5.496936339572752e-281,0,0.16280774261514214,0.22126251236742805,692.6932069892223,1682.9026834492302
33,33,13492.47300109009,4998.902525772246,-2743.570563,13498.459165950422,5022.847185213577,-2701.667409,0,0,0.20702895470510035,0.6025025745612025,4219.267044825566,3798.6707989402134
34,34,14650.739673915552,12494.700078585553,-1254.727266,14656.863528178657,12519.195495637976,-1211.860287,1.275151451039778e-157,1.0866293417222514e-15,0.20707755451195062,0.8001603324062471,1069.664687785783,6885.212369660733
35,35,13840.98019162607,10944.344013928327,5809.066429018751,13846.851502829393,10967.82925874162,5850.165607442014,7.88228596421631e-217,1.2439515230985892e-21,0.20331440486427366,0.5474057258569521,1433.775456002526,3573.5994289456503
36,36,11244.549449578939,8352.735159935764,5048.3575918600645,11250.257860246196,8375.568802604794,5088.316466530866,6.026702102063054e-58,0,0.1978214785621551,0.46755365063592974,1526.9088167150676,1525.8085512283255
37,37,10474.14691263562,3879.1039529742075,-153.438244,10480.036746387015,3902.663287979785,-112.2094078,0,0,0.19760998187220252,0.572688435,3303.114012563774,1900.2373202566066
38,38,17350.72431641526,14450.02845511764,-1746.963401,17356.870735738357,14474.614132410032,-1703.938466,9.0567e-320,0,0.2043984853203278,0.7363654535047129,1484.759864725751,7954.4440730232345
39,39,10780.531729929682,7626.160421911055,551.8092422,10786.274131951497,7649.130029998318,592.0060563395065,0,0,0.2022584424040995,0.5319484663614276,1533.145280938962,3554.363014831969
40,40,12492.043028656484,5633.078904359484,3557.063777435285,12498.073763580584,5657.201844055879,3599.2789219039746,9.991477081094935e-54,0,0.20595908095635565,0.6501589409045933,3510.0172367476125,950.1393905418099
41,41,12267.38603921535,8102.164789678418,-3753.178037,12273.443416703907,8126.3943,-3710.776395,0,2.324097726341786e-234,0.205093614,0.6687404769844507,2151.166567602583,5849.773407392623
42,42,14389.975074502914,12192.307656599107,-3832.161408,14395.936793318895,12216.154531863032,-3790.429376,0,0,0.20501374139007328,0.6050477739656648,1058.4596766501254,7879.967865093542
43,43,1867.5319923632105,1513.2657621731623,252.15143260078344,1871.5957775718982,1529.5209030079127,280.5979290615967,3.3195247778367534e-78,9.677110823357026e-273,0.05291239,0.094733092,163.19409671309063,629.1684505312633
44,44,18439.015488723428,16073.695949120262,2766.9594059782908,18445.186805598147,16098.38121661914,2810.1586241013288,0,0,0.2042716632479708,0.7357841551648522,1162.8022784555342,6566.592045832074
45,45,8586.983555136092,6981.651379891319,-1100.05815,8592.472408091826,7003.606791714253,-1061.63618,8.155041864046977e-281,0,0.15336826033606127,0.3737407684301697,816.8034673611974,4002.6440443985366
46,46,12418.075829206737,8806.581388739483,-2706.12289,12423.934083388922,8830.014405468228,-2665.115111,1.0248996220816524e-241,1.2211829231726844e-192,0.20356696300363258,0.6097675858150347,1790.8816941691975,5705.281610576325
47,47,19673.961589836177,12803.453019638779,12025.450356321036,19680.15443697077,12828.22440817715,12068.800286263186,0,1.031755568281049e-108,0.2038004386951653,0.763004026,3493.1198777040117,368.7992275160541
48,48,13798.318339850104,6585.614344703101,-3081.602172,13804.24998387156,6609.340920788918,-3040.080664,3.7461654311186376e-21,0,0.20964975439236475,0.5758508441708998,3736.4633306612723,4631.035387439888
49,49,18518.968597340878,17087.880498261053,16473.778910048793,18525.15922902178,17112.643024984667,16517.11333181512,5.739305344342425e-99,4.987094898682694e-130,0.20098895082136725,0.8639251882400326,717.3682529700618,317.53986600040844
